Time,Channel A,Channel B
(ns),(V),(mV)

94.80000132,3.11154600,177.10370000
95.20000133,3.09197600,178.08220000
95.60000133,3.13111500,180.03910000
96.00000134,3.15068500,178.08220000
96.40000134,3.15068500,176.12520000
96.80000135,3.07240700,177.10370000
97.20000135,3.09197600,178.08220000
97.60000136,3.07240700,177.10370000
98.00000136,3.13111500,176.12520000
98.40000137,3.13111500,180.03910000
98.80000137,3.13111500,177.10370000
99.20000138,3.13111500,180.03910000
99.60000139,3.17025400,180.03910000
100.00000139,3.18982400,181.99610000
100.40000140,3.18982400,181.99610000
100.80000140,3.15068500,182.97450000
101.20000141,3.20939300,181.01760000
101.60000141,3.17025400,182.97450000
102.00000142,3.24853200,181.99610000
102.40000142,3.17025400,180.03910000
102.80000143,3.18982400,182.97450000
103.20000143,3.17025400,181.99610000
103.60000144,3.22896300,185.91000000
104.00000144,3.18982400,181.99610000
104.40000145,3.20939300,179.06070000
104.80000145,3.15068500,181.01760000
105.20000146,3.20939300,181.01760000
105.60000147,3.20939300,181.99610000
106.00000147,3.24853200,181.99610000
106.40000148,3.24853200,181.99610000
106.80000148,3.17025400,182.97450000
107.20000149,3.20939300,180.03910000
107.60000149,3.22896300,180.03910000
108.00000150,3.15068500,181.01760000
108.40000150,3.22896300,182.97450000
108.80000151,3.24853200,180.03910000
109.20000151,3.17025400,181.01760000
109.60000152,3.20939300,181.99610000
110.00000152,3.26810200,183.95300000
110.40000153,3.24853200,183.95300000
110.80000153,3.26810200,182.97450000
111.20000154,3.26810200,184.93150000
111.60000155,3.30724100,185.91000000
112.00000155,3.18982400,187.86690000
112.40000156,3.24853200,190.80230000
112.80000156,3.24853200,190.80230000
113.20000157,3.22896300,193.73780000
113.60000157,3.20939300,191.78080000
114.00000158,3.22896300,192.75930000
114.40000158,3.22896300,194.71620000
114.80000159,3.28767100,191.78080000
115.20000159,3.20939300,192.75930000
115.60000160,3.22896300,192.75930000
116.00000160,3.24853200,190.80230000
116.40000161,3.28767100,189.82390000
116.80000161,3.24853200,185.91000000
117.20000162,3.26810200,186.88840000
117.60000163,3.30724100,185.91000000
118.00000163,3.26810200,183.95300000
118.40000164,3.24853200,182.97450000
118.80000164,3.32681000,182.97450000
119.20000165,3.26810200,183.95300000
119.60000165,3.32681000,181.99610000
120.00000166,3.30724100,180.03910000
120.40000166,3.30724100,179.06070000
120.80000167,3.24853200,181.99610000
121.20000167,3.34638000,181.99610000
121.60000168,3.26810200,182.97450000
122.00000168,3.30724100,182.97450000
122.40000169,3.26810200,181.99610000
122.80000170,3.28767100,181.99610000
123.20000170,3.28767100,181.01760000
123.60000171,3.28767100,181.01760000
124.00000171,3.32681000,180.03910000
124.40000172,3.30724100,178.08220000
124.80000172,3.28767100,176.12520000
125.20000173,3.32681000,179.06070000
125.60000173,3.26810200,180.03910000
126.00000174,3.28767100,176.12520000
126.40000174,3.28767100,177.10370000
126.80000175,3.28767100,175.14680000
127.20000175,3.26810200,174.16830000
127.60000176,3.30724100,174.16830000
128.00000176,3.30724100,177.10370000
128.40000177,3.34638000,177.10370000
128.80000178,3.28767100,179.06070000
129.20000178,3.28767100,177.10370000
129.60000179,3.26810200,178.08220000
130.00000179,3.34638000,177.10370000
130.40000180,3.28767100,178.08220000
130.80000180,3.30724100,181.99610000
131.20000181,3.30724100,180.03910000
131.60000181,3.34638000,181.01760000
132.00000182,3.26810200,183.95300000
132.40000182,3.32681000,182.97450000
132.80000183,3.26810200,184.93150000
133.20000183,3.30724100,182.97450000
133.60000184,3.28767100,183.95300000
134.00000184,3.32681000,186.88840000
134.40000185,3.28767100,185.91000000
134.80000186,3.30724100,185.91000000
135.20000186,3.24853200,187.86690000
135.60000187,3.32681000,186.88840000
136.00000187,3.28767100,185.91000000
136.40000188,3.34638000,186.88840000
136.80000188,3.28767100,184.93150000
137.20000189,3.28767100,183.95300000
137.60000189,3.30724100,184.93150000
138.00000190,3.28767100,183.95300000
138.40000190,3.34638000,182.97450000
138.80000191,3.32681000,183.95300000
139.20000191,3.26810200,183.95300000
139.60000192,3.30724100,181.99610000
140.00000192,3.36594900,183.95300000
140.40000193,3.32681000,181.99610000
140.80000194,3.28767100,183.95300000
141.20000194,3.30724100,182.97450000
141.60000195,3.30724100,184.93150000
142.00000195,3.28767100,183.95300000
142.40000196,3.20939300,183.95300000
142.80000196,3.28767100,181.99610000
143.20000197,3.26810200,182.97450000
143.60000197,3.28767100,183.95300000
144.00000198,3.28767100,185.91000000
144.40000198,3.26810200,184.93150000
144.80000199,3.26810200,184.93150000
145.20000199,3.30724100,182.97450000
145.60000200,3.22896300,184.93150000
146.00000200,3.24853200,181.99610000
146.40000201,3.24853200,182.97450000
146.80000202,3.34638000,183.95300000
147.20000202,3.24853200,186.88840000
147.60000203,3.28767100,183.95300000
148.00000203,3.26810200,183.95300000
148.40000204,3.24853200,183.95300000
148.80000204,3.22896300,182.97450000
149.20000205,3.24853200,181.01760000
149.60000205,3.22896300,181.99610000
150.00000206,3.22896300,180.03910000
150.40000206,3.20939300,181.99610000
150.80000207,3.22896300,182.97450000
151.20000207,3.28767100,180.03910000
151.60000208,3.28767100,178.08220000
152.00000208,3.18982400,181.01760000
152.40000209,3.26810200,180.03910000
